subject_id,block,sentence_n,trialtime,x,y
0,9,2,20353.2024,0,9
0,9,2,21096.2509,0,3
0,9,2,21918.9509,0,8
0,9,2,22246.8324,0,9
0,9,2,22834.1384,1,1
0,9,2,23292.5462,1,5
0,9,2,23750.9541,1,1
0,9,2,24279.1303,2,7
0,9,2,24741.9558,1,3
0,9,2,25120.2842,1,1
0,9,2,25938.9075,3,5
0,9,2,26352.6705,1,3
0,9,2,26702.8744,0,2
0,9,2,27259.1411,0,9
0,9,2,28064.0379,1,1
0,9,2,28452.8932,0,3
0,9,2,28780.7747,0,4
0,9,2,29473.3468,2,8
0,9,2,30009.0574,0,2
0,9,2,30514.9126,2,7
0,9,2,30958.8488,0,4
0,9,2,31479.0715,3,9
0,10,2,496.4236,0,7
0,10,2,1157.829,3,5
0,10,2,1546.6843,1,4
0,10,2,2009.5098,0,8
0,10,2,2720.0652,0,3
0,10,2,3542.9256,1,5
0,10,2,3969.9517,0,8
0,10,2,5079.3064,0,3
0,10,2,5861.3557,2,10
0,10,2,6614.6925,0,4
0,10,2,7041.7186,3,5
0,10,2,7726.3762,0,8
0,10,2,8115.2315,2,7
0,10,2,8950.836,0,2
0,10,2,9417.9092,3,5
0,10,2,9911.0282,0,9
0,10,2,10467.2949,0,2
0,10,2,11140.9624,0,3
0,10,2,11491.1663,1,2
0,10,2,12019.3425,0,8
0,10,2,12408.1978,2,7
0,10,2,12797.0531,3,5
0,10,2,13290.1721,0,1
0,10,2,14003.9719,1,6
0,10,2,14466.7974,0,2
0,10,2,15190.089,2,7
0,10,2,15796.497,3,5
