subject_id,sentence_n,trialtime,event
0,12,8051.7204,pressed key
0,12,8401.9244,pressed key
0,12,9033.1411,pressed key
0,12,9508.2594,pressed key
0,12,9836.1409,pressed key
0,12,10497.5872,pressed key
0,12,11128.9362,pressed key
0,12,11724.7847,pressed key
0,12,12187.6102,pressed key
0,12,12608.2509,pressed key
0,12,13035.277,pressed key
0,12,13711.0865,pressed key
0,12,14178.1597,pressed key
0,12,14823.2977,pressed key
0,12,15201.6261,pressed key
0,12,15843.8389,pressed key
0,12,16557.7108,pressed key
0,12,17063.566,pressed key
0,12,17556.685,pressed key
0,13,462.8255,pressed key
0,13,851.6808,pressed key
0,13,1531.9977,pressed key
0,13,1999.0709,pressed key
0,13,2349.2748,pressed key
0,13,3084.0672,pressed key
0,13,3690.4393,pressed key
0,13,4068.7677,pressed key
0,13,4495.7938,pressed key
0,13,4916.4345,pressed key
0,13,5305.2898,pressed key
0,13,5633.1713,pressed key
0,13,6022.0266,pressed key
0,13,6449.0527,pressed key
0,13,6916.1259,pressed key
0,13,7639.4503,pressed key
0,13,8550.3917,pressed key
0,13,8964.1548,pressed key
0,13,9353.0101,pressed key
0,13,10063.5829,pressed key
0,13,10391.4644,pressed key
0,13,10835.4006,pressed key
0,13,11224.2559,pressed key
0,13,11613.1112,pressed key
0,13,12080.1844,pressed key
0,13,12524.1205,pressed key
0,13,12852.002,pressed key
0,13,13202.206,pressed key
0,13,13787.732,pressed key
0,13,14262.8502,pressed key
0,13,14936.6756,pressed key
0,13,15623.8599,pressed key
0,13,16209.3859,pressed key
0,13,16636.412,pressed key
0,13,17094.8198,pressed key
0,13,17779.3844,pressed key
0,13,18472.0887,pressed key
0,13,19145.8646,pressed key
0,13,19589.8008,pressed key
0,13,20064.919,pressed key
0,13,20757.5541,pressed key
0,13,21146.4094,pressed key
0,13,21567.0502,pressed key
0,13,22057.8805,pressed key
0,13,22501.8166,pressed key
0,13,23160.112,pressed key
0,13,23487.9935,pressed key
0,13,24132.5397,pressed key
0,13,24846.4171,pressed key
0,13,25698.2682,pressed key
0,13,26336.4003,pressed key
0,13,26856.623,pressed key
0,13,27402.0474,pressed key
0,13,27729.9289,pressed key
0,13,28297.7238,pressed key
0,13,28539.7256,pressed key
0,13,28889.9295,pressed key
0,13,29475.4555,pressed key
0,13,29901.0426,pressed key
0,13,30539.1197,pressed key
0,13,30867.0012,pressed key
0,13,31414.4726,pressed key
0,14,644.4799,pressed key
0,14,1288.9799,pressed key
0,14,2384.6122,pressed key
0,14,2881.0358,pressed key
0,14,3377.4594,pressed key
0,14,3821.3956,pressed key
0,14,4248.4217,pressed key
0,14,4675.4477,pressed key
0,14,5064.3031,pressed key
0,14,5557.4221,pressed key
0,14,5984.4482,pressed key
0,14,6411.4743,pressed key
0,14,6866.7778,pressed key
0,14,7363.2014,pressed key
0,14,7994.5239,pressed key
0,14,8590.3262,pressed key
0,14,8968.6546,pressed key
0,14,9626.8723,pressed key
0,14,10053.8984,pressed key
0,14,10442.7537,pressed key
0,14,10905.5793,pressed key
0,14,11718.506,pressed key
0,14,12211.625,pressed key
0,14,12539.5065,pressed key
0,14,13002.3321,pressed key
0,14,13422.9728,pressed key
0,14,14084.5073,pressed key
0,14,14490.4848,pressed key
0,14,14818.3663,pressed key
0,14,15060.3681,pressed key
0,14,15302.37,pressed key
0,14,15544.3718,pressed key
0,14,15786.3736,pressed key
0,14,16480.3834,pressed key
0,14,16722.3849,pressed key
0,14,16964.3863,pressed key
0,14,17206.3878,pressed key
0,14,17448.3893,pressed key
0,14,17690.3908,pressed key
0,14,18226.1014,pressed key
0,14,18653.1275,pressed key
0,14,19003.3314,pressed key
0,14,19478.4497,pressed key
0,14,20074.2949,pressed key
0,14,20501.321,pressed key
0,14,21026.8954,pressed key
0,14,21440.6585,pressed key
0,14,21829.5138,pressed key
0,14,22322.6328,pressed key
0,14,22909.9388,pressed key
0,14,23369.4574,pressed key
0,14,23925.7241,pressed key
0,14,24431.5793,pressed key
0,14,25038.0316,pressed key
0,15,458.4078,pressed key
0,15,847.2631,pressed key
0,15,1527.6414,pressed key
0,15,1994.7146,pressed key
0,15,2344.9185,pressed key
0,15,3118.7447,pressed key
0,15,4102.5091,pressed key
0,15,4529.5352,pressed key
0,15,5025.9588,pressed key
0,15,5488.7843,pressed key
